prediction_rate,exact_match,match_1pct,match_5pct,match_10pct,mean_rel_error,train_time_s,predict_time_s,experiment,model,source,preprocess
1.0,1.0,1.0,1.0,1.0,0.0,3.52,0.12,Candidate Gradient Boosting | CORD GT | crudo,Candidate Gradient Boosting,CORD GT,No
1.0,1.0,1.0,1.0,1.0,0.0,1.96,2.47,Candidate Random Forest | CORD GT | crudo,Candidate Random Forest,CORD GT,No
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01,Regex Keyword | CORD GT | crudo,Regex Keyword,CORD GT,No
1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.09,Candidate SVM | CORD GT | crudo,Candidate SVM,CORD GT,No
1.0,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9818181818181818,0.009060299969390877,1.02,0.21,TF-IDF + LogReg | CORD GT | crudo,TF-IDF + LogReg,CORD GT,No
0.968421052631579,0.6631578947368421,0.6947368421052632,0.7263157894736842,0.7789473684210526,0.6755521988778405,524.03,13.72,T5 Seq2Seq | EasyOCR | crudo,T5 Seq2Seq,EasyOCR,No
0.9789473684210527,0.6631578947368421,0.6947368421052632,0.7157894736842105,0.7368421052631579,0.49881301832134217,526.87,14.22,T5 Seq2Seq | EasyOCR | preproc,T5 Seq2Seq,EasyOCR,Sí
0.9789473684210527,0.5473684210526316,0.5894736842105263,0.6105263157894737,0.6947368421052632,0.5824267407900192,2.43,3.81,Candidate Random Forest | EasyOCR | preproc,Candidate Random Forest,EasyOCR,Sí
0.9789473684210527,0.5473684210526316,0.5684210526315789,0.5789473684210527,0.6631578947368421,0.3747895023334879,269.31,3.46,DistilBERT Reranker | EasyOCR | preproc,DistilBERT Reranker,EasyOCR,Sí
0.9894736842105263,0.5263157894736842,0.5684210526315789,0.5894736842105263,0.6736842105263158,0.45225267527698004,3.98,0.18,Candidate Gradient Boosting | EasyOCR | preproc,Candidate Gradient Boosting,EasyOCR,Sí
0.8736842105263158,0.49473684210526314,0.5157894736842106,0.5368421052631579,0.6105263157894737,0.3377490722584117,3.82,0.15,Candidate Gradient Boosting | EasyOCR | crudo,Candidate Gradient Boosting,EasyOCR,No
0.8631578947368421,0.4842105263157895,0.5052631578947369,0.5263157894736842,0.6105263157894737,0.6146329975722031,2.39,3.65,Candidate Random Forest | EasyOCR | crudo,Candidate Random Forest,EasyOCR,No
1.0,0.4727272727272727,0.4727272727272727,0.4909090909090909,0.5272727272727272,0.22677583329857537,0.0,0.02,Regex Max Filtrado | CORD GT | crudo,Regex Max Filtrado,CORD GT,No
0.8631578947368421,0.4631578947368421,0.4842105263157895,0.4842105263157895,0.5578947368421052,0.3102696343456236,342.07,2.58,DistilBERT Reranker | EasyOCR | crudo,DistilBERT Reranker,EasyOCR,No
0.9789473684210527,0.42105263157894735,0.4631578947368421,0.4842105263157895,0.5684210526315789,1.073348821268927,0.0,0.01,Regex Keyword | EasyOCR | preproc,Regex Keyword,EasyOCR,Sí
0.9894736842105263,0.3894736842105263,0.42105263157894735,0.43157894736842106,0.5157894736842106,712.6725467257661,1.25,0.27,TF-IDF + LogReg | EasyOCR | preproc,TF-IDF + LogReg,EasyOCR,Sí
0.9894736842105263,0.37894736842105264,0.42105263157894735,0.43157894736842106,0.5157894736842106,712.6722781714286,0.87,0.12,Candidate SVM | EasyOCR | preproc,Candidate SVM,EasyOCR,Sí
0.8842105263157894,0.3684210526315789,0.3894736842105263,0.4105263157894737,0.5052631578947369,0.682361790971388,0.0,0.02,Regex Keyword | EasyOCR | crudo,Regex Keyword,EasyOCR,No
0.8210526315789474,0.3263157894736842,0.3368421052631579,0.3473684210526316,0.43157894736842106,693.2587384309288,0.75,0.12,Candidate SVM | EasyOCR | crudo,Candidate SVM,EasyOCR,No
0.8105263157894737,0.3263157894736842,0.3263157894736842,0.3368421052631579,0.42105263157894735,702.2624265158466,1.25,0.25,TF-IDF + LogReg | EasyOCR | crudo,TF-IDF + LogReg,EasyOCR,No
0.9789473684210527,0.25263157894736843,0.28421052631578947,0.29473684210526313,0.4421052631578947,692.5191279037568,0.0,0.01,Regex Max Filtrado | EasyOCR | preproc,Regex Max Filtrado,EasyOCR,Sí
0.8526315789473684,0.23157894736842105,0.23157894736842105,0.24210526315789474,0.37894736842105264,635.0565659453682,0.0,0.02,Regex Max Filtrado | EasyOCR | crudo,Regex Max Filtrado,EasyOCR,No
